transaction_id,customer_id,product_code,quantity,unit_price,discount,total_amount,transaction_date,customer_segment,region
42,117,PROD_4201,18,146.83,0.203,249.49,2025-04-08 18:28:20,Premium,South
43,739,PROD_2262,7,239.42,0.027,220.57,2025-08-21 18:28:20,Premium,East
44,874,PROD_2103,19,457.31,0.2,408.79,2024-12-16 18:28:20,Basic,West
45,915,PROD_2663,7,288.34,0.279,1964.01,2024-11-27 18:28:20,Premium,South
46,968,PROD_5408,5,265.4,0.013,838.83,2024-10-21 18:28:20,Premium,East
47,999,PROD_3928,8,405.21,0.185,1848.97,2025-04-23 18:28:20,Standard,South
48,545,PROD_9748,16,11.97,0.114,412.0,2025-03-07 18:28:20,Standard,South
49,44,PROD_3033,16,106.72,0.15,1693.75,2025-02-25 18:28:20,Basic,North
50,509,PROD_8578,19,253.13,0.158,626.94,2025-04-19 18:28:20,Premium,South
51,988,PROD_7044,15,355.6,0.231,1471.45,2024-11-09 18:28:20,Premium,Central
52,165,PROD_3931,7,247.66,0.167,1949.18,2025-03-23 18:28:20,Premium,West
53,368,PROD_3502,5,90.22,0.178,1866.72,2025-06-30 18:28:20,Standard,North
54,857,PROD_9743,11,465.69,0.1,1664.34,2025-04-10 18:28:20,Premium,South
55,292,PROD_4060,10,171.05,0.038,109.91,2025-04-11 18:28:20,Standard,North
56,849,PROD_5024,9,396.23,0.205,1219.46,2025-01-29 18:28:20,Premium,West
57,856,PROD_1143,1,446.79,0.0,1672.54,2025-05-16 18:28:20,Standard,West
58,917,PROD_6332,1,179.76,0.099,804.66,2025-08-01 18:28:20,Basic,North
59,898,PROD_3814,8,424.2,0.065,1465.06,2025-07-12 18:28:20,Basic,East
60,799,PROD_5461,3,358.28,0.117,284.85,2025-02-27 18:28:20,Premium,West
61,876,PROD_9409,2,453.1,0.093,361.76,2024-11-22 18:28:20,Premium,Central
62,737,PROD_1339,4,133.14,0.211,1290.98,2025-08-31 18:28:20,Standard,Central
63,286,PROD_9206,19,466.33,0.078,879.85,2025-02-23 18:28:20,Standard,South
64,204,PROD_9265,11,42.0,0.168,444.32,2025-07-27 18:28:20,Standard,East
65,684,PROD_1931,5,398.9,0.137,572.92,2025-03-29 18:28:20,Premium,East
66,524,PROD_7452,10,223.48,0.24,1241.65,2025-03-22 18:28:20,Standard,South
67,819,PROD_3211,8,97.17,0.128,1453.49,2025-08-07 18:28:20,Premium,West
68,121,PROD_3736,13,48.91,0.259,423.15,2024-11-14 18:28:20,Standard,North
69,945,PROD_1792,5,200.88,0.0,1910.84,2025-04-12 18:28:20,Premium,East
70,756,PROD_8685,12,200.77,0.181,26.28,2025-03-21 18:28:20,Standard,East
71,664,PROD_3554,13,122.68,0.003,1403.12,2025-04-10 18:28:20,Standard,West
72,664,PROD_3167,8,115.6,0.214,589.09,2025-10-01 18:28:20,Standard,North
73,188,PROD_4963,15,205.76,0.07,962.24,2025-06-04 18:28:20,Premium,Central
74,907,PROD_7016,13,210.96,0.114,1144.0,2025-04-02 18:28:20,Basic,East
75,13,PROD_5575,1,226.76,0.114,1127.43,2025-10-10 18:28:20,Basic,West
76,603,PROD_8576,6,435.69,0.254,1554.79,2025-02-13 18:28:20,Premium,East
77,200,PROD_5027,11,309.51,0.031,1649.42,2025-10-03 18:28:20,Premium,Central
78,586,PROD_8453,13,20.01,0.2,155.97,2024-11-09 18:28:20,Basic,South
79,768,PROD_3869,1,264.36,0.294,1408.99,2025-09-23 18:28:20,Basic,West
80,456,PROD_2800,11,383.6,0.007,804.12,2025-09-02 18:28:20,Standard,North
81,448,PROD_5066,11,37.64,0.29,1638.99,2025-05-17 18:28:20,Standard,South
82,788,PROD_3655,8,217.08,0.006,1221.69,2024-11-14 18:28:20,Premium,North
83,840,PROD_1692,3,231.09,0.252,30.37,2025-05-27 18:28:20,Basic,Central
84,841,PROD_2098,19,477.47,0.288,1336.27,2025-08-19 18:28:20,Basic,North
85,71,PROD_7183,12,243.09,0.298,1852.16,2025-06-23 18:28:20,Premium,East
86,590,PROD_3226,6,377.45,0.138,175.36,2025-10-12 18:28:20,Basic,Central
87,796,PROD_1009,8,158.42,0.26,993.52,2025-04-04 18:28:20,Standard,South
88,130,PROD_5705,5,391.86,0.037,1255.45,2025-01-27 18:28:20,Basic,East
89,889,PROD_8549,10,168.1,0.128,399.77,2024-11-17 18:28:20,Basic,East
90,43,PROD_9665,16,220.71,0.092,1304.88,2025-03-13 18:28:20,Standard,Central
91,520,PROD_9027,12,244.95,0.119,109.1,2025-07-14 18:28:20,Basic,North
92,13,PROD_7471,17,463.92,0.211,1812.3,2025-06-03 18:28:20,Standard,North
93,725,PROD_9871,6,36.19,0.026,1527.68,2025-09-24 18:28:20,Standard,South
94,623,PROD_7617,9,106.46,0.299,1882.64,2024-10-21 18:28:20,Standard,Central
95,988,PROD_9602,10,355.81,0.191,842.67,2025-01-25 18:28:20,Basic,South
96,803,PROD_8645,14,293.01,0.262,78.07,2025-03-01 18:28:20,Standard,West
97,535,PROD_9514,14,133.25,0.249,689.65,2025-08-23 18:28:20,Premium,Central
98,302,PROD_6798,17,151.71,0.23,1036.35,2025-10-12 18:28:20,Basic,West
99,766,PROD_7638,16,189.98,0.012,1872.39,2025-10-13 18:28:20,Standard,South
100,527,PROD_5119,4,230.67,0.155,1767.3,2024-11-22 18:28:20,Premium,West
101,642,PROD_9576,2,410.83,0.098,1192.2,2025-03-18 18:28:20,Premium,West
102,573,PROD_7679,16,16.77,0.034,1462.21,2025-03-19 18:28:20,Standard,East
103,115,PROD_3734,1,450.03,0.103,1908.26,2025-01-10 18:28:20,Premium,East
104,460,PROD_9243,3,212.38,0.193,1702.68,2024-12-12 18:28:20,Standard,South
105,832,PROD_9187,11,122.94,0.069,1321.05,2025-09-14 18:28:20,Premium,South
106,505,PROD_3068,16,259.12,0.133,1084.71,2024-11-04 18:28:20,Basic,North
107,308,PROD_1596,18,333.24,0.121,957.32,2025-05-28 18:28:20,Standard,West
108,932,PROD_4389,15,31.93,0.016,1515.65,2025-08-24 18:28:20,Premium,North
109,963,PROD_2202,9,360.73,0.188,1619.46,2025-02-08 18:28:20,Premium,North
110,325,PROD_7021,12,382.77,0.186,443.11,2025-08-06 18:28:20,Standard,Central
111,579,PROD_5889,18,91.43,0.29,953.31,2025-01-13 18:28:20,Basic,North
112,761,PROD_2892,5,92.26,0.089,1544.59,2025-08-03 18:28:20,Standard,North
113,175,PROD_7756,8,109.85,0.126,1354.66,2025-10-11 18:28:20,Premium,West
114,851,PROD_7268,3,400.35,0.121,1187.24,2025-02-15 18:28:20,Standard,North
115,514,PROD_7159,2,143.28,0.276,654.22,2025-03-20 18:28:20,Basic,West
116,172,PROD_5907,19,400.01,0.123,1222.35,2025-07-20 18:28:20,Premium,West
117,997,PROD_7121,8,274.86,0.133,1228.17,2025-07-08 18:28:20,Basic,North
118,960,PROD_1391,2,385.91,0.076,870.54,2025-01-31 18:28:20,Basic,West
119,502,PROD_6153,19,281.3,0.0,1921.0,2025-08-19 18:28:20,Premium,South
120,977,PROD_8982,1,174.53,0.033,1309.71,2025-08-13 18:28:20,Basic,South
121,334,PROD_4255,13,456.25,0.211,1702.89,2025-04-18 18:28:20,Premium,West
122,284,PROD_1262,17,360.49,0.205,266.63,2024-11-11 18:28:20,Basic,South
123,475,PROD_4531,3,247.19,0.097,1515.99,2025-07-24 18:28:20,Basic,Central
124,54,PROD_8135,9,322.34,0.142,1207.72,2025-08-04 18:28:20,Premium,East
125,458,PROD_3411,5,311.76,0.089,623.47,2025-06-19 18:28:20,Basic,South
126,579,PROD_8371,6,185.48,0.219,281.36,2025-08-02 18:28:20,Basic,North
127,420,PROD_3291,4,217.65,0.253,765.5,2025-01-05 18:28:20,Basic,South
128,614,PROD_5947,17,165.95,0.27,888.34,2025-07-31 18:28:20,Standard,Central
129,632,PROD_7493,16,499.76,0.052,290.12,2025-07-14 18:28:20,Basic,Central
130,703,PROD_5005,16,294.23,0.209,1343.55,2025-07-17 18:28:20,Standard,Central
131,409,PROD_3331,11,55.11,0.289,621.15,2025-01-03 18:28:20,Premium,South
132,982,PROD_1268,2,264.36,0.195,1614.02,2025-07-27 18:28:20,Premium,East
133,304,PROD_4720,17,34.48,0.105,1300.21,2025-05-22 18:28:20,Premium,North
134,935,PROD_8193,15,151.44,0.191,627.9,2025-10-08 18:28:20,Standard,East
135,559,PROD_5143,18,228.52,0.207,726.44,2025-01-13 18:28:20,Premium,South
136,222,PROD_8975,10,271.79,0.119,1884.87,2025-05-25 18:28:20,Premium,East
137,533,PROD_7541,6,488.33,0.031,1896.76,2025-02-15 18:28:20,Basic,West
138,158,PROD_8640,16,491.29,0.182,842.56,2025-04-30 18:28:20,Standard,North
139,348,PROD_8621,5,58.05,0.241,1361.55,2025-07-27 18:28:20,Standard,West
140,159,PROD_7087,12,273.69,0.299,1960.14,2025-01-18 18:28:20,Standard,West
141,889,PROD_4353,6,410.38,0.067,1988.16,2025-07-08 18:28:20,Premium,East
142,884,PROD_8590,14,126.48,0.21,153.55,2025-04-14 18:28:20,Standard,West
143,922,PROD_3136,16,377.78,0.008,1111.46,2024-12-08 18:28:20,Premium,North
144,235,PROD_7812,7,440.52,0.291,1455.97,2024-12-16 18:28:20,Premium,West
145,662,PROD_1841,2,334.62,0.004,381.86,2024-12-14 18:28:20,Premium,South
146,405,PROD_5020,6,170.57,0.108,1645.59,2025-05-15 18:28:20,Premium,North
147,257,PROD_3384,9,462.33,0.023,942.22,2025-09-28 18:28:20,Basic,South
148,677,PROD_2659,7,442.92,0.186,1000.53,2025-10-14 18:28:20,Standard,South
149,589,PROD_5840,2,360.75,0.102,555.9,2025-05-28 18:28:20,Standard,Central
150,597,PROD_7128,19,188.2,0.22,607.29,2025-08-28 18:28:20,Premium,Central
151,558,PROD_1870,8,398.03,0.146,177.5,2025-09-25 18:28:20,Premium,South
152,905,PROD_6743,11,164.89,0.126,1863.72,2025-01-04 18:28:20,Premium,West
153,913,PROD_8620,4,133.95,0.105,769.91,2025-05-30 18:28:20,Basic,South
154,47,PROD_7333,16,262.36,0.026,332.84,2025-02-25 18:28:20,Premium,South
155,213,PROD_8100,18,498.6,0.061,293.29,2024-12-09 18:28:20,Standard,Central
156,479,PROD_2279,13,404.12,0.192,820.74,2025-08-16 18:28:20,Standard,East
157,487,PROD_5816,5,367.6,0.149,1268.09,2025-06-20 18:28:20,Basic,East
158,571,PROD_6812,2,231.49,0.021,1557.79,2025-04-07 18:28:20,Premium,East
159,566,PROD_9397,11,162.86,0.163,1849.96,2025-08-23 18:28:20,Standard,South
160,342,PROD_8816,1,429.39,0.016,1275.05,2024-10-19 18:28:20,Basic,South
161,524,PROD_1663,13,288.19,0.154,847.12,2025-08-16 18:28:20,Standard,West
162,704,PROD_8855,5,408.49,0.289,849.67,2025-06-10 18:28:20,Basic,Central
163,503,PROD_2110,18,249.0,0.092,1153.01,2025-04-20 18:28:20,Premium,South
164,6,PROD_6775,14,379.44,0.217,1080.7,2024-11-07 18:28:20,Standard,North
165,821,PROD_6430,13,435.19,0.224,1285.22,2025-09-29 18:28:20,Standard,North
166,144,PROD_4169,7,201.78,0.121,1011.79,2025-05-07 18:28:20,Premium,Central
167,858,PROD_6084,8,16.65,0.178,127.39,2025-07-07 18:28:20,Premium,North
168,261,PROD_9302,18,134.91,0.142,1006.45,2025-05-04 18:28:20,Basic,North
169,585,PROD_3718,7,458.31,0.085,54.84,2025-03-02 18:28:20,Premium,Central
170,686,PROD_1181,17,346.9,0.226,369.41,2025-08-01 18:28:20,Standard,South
171,232,PROD_2659,16,371.24,0.211,780.98,2025-07-22 18:28:20,Standard,South
172,270,PROD_3391,11,169.39,0.27,1107.1,2024-11-19 18:28:20,Premium,West
173,940,PROD_5417,19,353.62,0.185,377.79,2025-01-16 18:28:20,Premium,South
174,447,PROD_1981,1,326.68,0.117,559.84,2024-12-15 18:28:20,Premium,North
175,874,PROD_1404,8,97.4,0.214,754.68,2025-08-08 18:28:20,Premium,North
176,222,PROD_9347,1,484.66,0.186,402.46,2025-10-11 18:28:20,Standard,West
177,52,PROD_4583,9,183.47,0.185,1997.54,2025-03-05 18:28:20,Basic,Central
178,116,PROD_9537,19,171.35,0.255,1611.38,2025-05-19 18:28:20,Standard,North
179,538,PROD_7082,9,190.89,0.273,1623.76,2025-08-15 18:28:20,Standard,South
180,565,PROD_1395,10,54.94,0.054,1142.04,2024-11-21 18:28:20,Basic,South
181,877,PROD_8345,11,316.23,0.094,1923.04,2024-10-21 18:28:20,Premium,South
182,541,PROD_7609,1,126.93,0.195,1467.08,2024-11-08 18:28:20,Basic,North
183,19,PROD_6472,8,403.62,0.167,668.45,2025-04-13 18:28:20,Standard,East
184,815,PROD_8541,12,203.14,0.196,1224.95,2025-02-06 18:28:20,Premium,North
185,392,PROD_6684,1,234.69,0.13,1091.96,2025-01-03 18:28:20,Premium,North
186,791,PROD_6350,10,326.75,0.124,1164.77,2025-09-24 18:28:20,Premium,East
187,629,PROD_5668,4,383.32,0.035,1637.28,2024-12-12 18:28:20,Premium,East
188,618,PROD_7028,15,123.25,0.187,1024.03,2025-02-19 18:28:20,Premium,South
189,419,PROD_1834,19,483.48,0.053,1459.99,2025-01-19 18:28:20,Premium,South
190,991,PROD_9470,6,314.94,0.201,508.69,2025-06-13 18:28:20,Basic,South
191,309,PROD_3020,5,12.76,0.29,1864.8,2025-09-30 18:28:20,Premium,North
192,739,PROD_8182,5,213.65,0.077,181.9,2025-08-10 18:28:20,Basic,Central
193,864,PROD_8987,18,224.04,0.043,1987.22,2025-01-11 18:28:20,Basic,West
194,186,PROD_8100,3,406.49,0.007,1269.02,2025-10-06 18:28:20,Basic,Central
195,261,PROD_9420,2,159.52,0.114,945.2,2025-09-07 18:28:20,Premium,East
196,528,PROD_1592,4,172.3,0.064,628.46,2025-10-02 18:28:20,Premium,North
197,273,PROD_9978,18,44.54,0.148,816.23,2025-05-14 18:28:20,Premium,North
198,160,PROD_9289,9,148.94,0.157,1567.02,2025-08-23 18:28:20,Premium,West
199,870,PROD_2102,19,361.31,0.105,287.47,2024-11-30 18:28:20,Standard,Central
200,762,PROD_3512,10,321.03,0.225,512.84,2025-05-20 18:28:20,Standard,East
201,224,PROD_7191,15,49.88,0.271,256.22,2024-10-15 18:28:20,Premium,West
202,256,PROD_6409,1,66.2,0.063,859.04,2025-04-29 18:28:20,Standard,North
203,180,PROD_8206,11,194.69,0.251,780.57,2025-06-12 18:28:20,Premium,West
204,20,PROD_5376,14,374.44,0.039,1301.08,2025-05-13 18:28:20,Premium,South
205,624,PROD_3358,10,418.13,0.069,1991.47,2025-09-05 18:28:20,Premium,Central
206,632,PROD_3329,19,17.17,0.168,1785.79,2024-12-05 18:28:20,Premium,East
207,706,PROD_4216,16,171.22,0.092,1761.95,2025-04-27 18:28:20,Premium,South
208,468,PROD_2526,8,217.89,0.013,1294.96,2025-08-11 18:28:20,Premium,Central
209,623,PROD_7289,2,456.46,0.088,548.51,2025-01-26 18:28:20,Premium,South
210,210,PROD_5518,7,255.69,0.271,774.33,2025-08-27 18:28:20,Basic,West
211,513,PROD_7461,19,142.15,0.052,507.74,2024-11-13 18:28:20,Basic,East
212,58,PROD_4608,7,201.12,0.229,278.82,2025-06-02 18:28:20,Standard,West
213,93,PROD_1686,15,223.85,0.217,877.7,2025-05-20 18:28:20,Standard,West
214,221,PROD_1721,8,338.3,0.032,1796.09,2025-02-16 18:28:20,Basic,Central
215,723,PROD_5962,14,30.13,0.099,1490.24,2025-01-03 18:28:20,Basic,East
216,940,PROD_1198,1,200.83,0.057,1969.83,2025-03-19 18:28:20,Basic,East
217,232,PROD_3178,13,326.81,0.007,397.69,2025-02-24 18:28:20,Standard,West
218,774,PROD_4186,3,148.83,0.052,1006.08,2025-05-20 18:28:20,Premium,East
219,364,PROD_7854,6,299.96,0.06,1588.16,2024-11-27 18:28:20,Standard,North
220,615,PROD_4172,19,185.07,0.05,926.32,2025-08-10 18:28:20,Premium,East
221,562,PROD_7841,15,381.77,0.027,716.56,2025-01-06 18:28:20,Premium,West
222,374,PROD_3484,4,39.69,0.158,1633.61,2025-09-26 18:28:20,Standard,North
223,622,PROD_7994,3,459.8,0.097,866.31,2025-07-17 18:28:20,Premium,North
224,456,PROD_9962,4,94.09,0.272,1826.81,2025-09-01 18:28:20,Standard,Central
225,88,PROD_5180,5,87.69,0.056,544.12,2024-11-20 18:28:20,Basic,West
226,20,PROD_4450,18,421.92,0.181,1793.94,2025-01-26 18:28:20,Basic,East
227,14,PROD_1009,10,435.95,0.27,564.14,2024-11-03 18:28:20,Standard,North
228,133,PROD_2085,8,55.56,0.014,586.23,2025-01-03 18:28:20,Standard,West
229,937,PROD_3677,12,455.27,0.155,846.96,2024-12-06 18:28:20,Standard,Central
230,808,PROD_1613,3,143.92,0.135,1036.47,2025-06-22 18:28:20,Standard,South
231,34,PROD_5350,18,313.12,0.279,842.27,2025-10-03 18:28:20,Premium,South
232,892,PROD_8907,8,43.61,0.199,1725.68,2025-03-31 18:28:20,Basic,East
233,208,PROD_2082,1,196.52,0.105,1593.18,2025-06-23 18:28:20,Standard,South
234,813,PROD_4589,14,230.86,0.213,626.63,2025-04-21 18:28:20,Standard,North
235,199,PROD_8672,13,303.92,0.175,1027.92,2025-02-02 18:28:20,Basic,North
236,592,PROD_3713,12,267.38,0.104,867.75,2025-01-01 18:28:20,Standard,West
237,583,PROD_9085,3,236.13,0.236,121.58,2024-11-20 18:28:20,Basic,East
238,155,PROD_2871,18,480.22,0.2,1498.81,2024-10-16 18:28:20,Basic,West
239,590,PROD_2310,13,100.66,0.002,371.52,2025-10-02 18:28:20,Standard,West
240,78,PROD_8530,15,87.42,0.26,1868.94,2024-11-04 18:28:20,Premium,East
241,172,PROD_6615,10,359.58,0.119,801.58,2025-06-20 18:28:20,Standard,West
242,289,PROD_7096,1,46.53,0.194,1248.29,2025-02-19 18:28:20,Premium,South
243,545,PROD_8682,6,246.62,0.119,1638.42,2025-01-02 18:28:20,Standard,Central
244,812,PROD_5228,9,247.19,0.264,368.79,2024-12-19 18:28:20,Premium,West
245,788,PROD_9977,10,161.91,0.195,1086.86,2025-08-16 18:28:20,Basic,North
246,879,PROD_6416,15,465.92,0.174,482.47,2024-11-07 18:28:20,Basic,North
247,420,PROD_6349,9,148.45,0.294,1024.24,2025-08-01 18:28:20,Standard,South
248,7,PROD_9629,14,151.34,0.084,1163.08,2025-08-26 18:28:20,Standard,West
249,160,PROD_3549,11,124.81,0.02,346.59,2025-06-23 18:28:20,Premium,West
250,240,PROD_9520,7,81.44,0.155,1165.83,2024-11-10 18:28:20,Premium,East
251,963,PROD_5570,2,188.37,0.127,915.27,2024-12-01 18:28:20,Premium,West
252,423,PROD_5018,14,343.63,0.136,1048.78,2025-03-01 18:28:20,Premium,West
253,989,PROD_4706,6,373.66,0.186,1810.88,2025-06-08 18:28:20,Premium,North
254,536,PROD_1364,5,408.58,0.185,972.77,2025-06-14 18:28:20,Standard,East
255,726,PROD_8108,5,106.8,0.118,957.54,2025-03-22 18:28:20,Basic,West
256,70,PROD_8919,19,27.46,0.259,946.09,2024-12-13 18:28:20,Premium,South
257,880,PROD_5459,19,487.6,0.195,1249.98,2024-12-24 18:28:20,Basic,West
258,216,PROD_6376,6,17.02,0.267,741.36,2025-10-07 18:28:20,Basic,East
259,104,PROD_9336,10,480.73,0.274,1604.71,2025-05-04 18:28:20,Standard,South
260,727,PROD_5924,14,416.12,0.05,579.24,2025-04-28 18:28:20,Premium,South
261,54,PROD_9173,17,456.92,0.204,606.1,2025-01-05 18:28:20,Premium,South
262,806,PROD_7630,3,199.72,0.095,1181.61,2025-05-02 18:28:20,Premium,North
263,330,PROD_1840,1,106.63,0.251,527.18,2025-04-21 18:28:20,Premium,North
264,848,PROD_5920,10,307.17,0.22,188.99,2025-02-04 18:28:20,Standard,South
265,203,PROD_5221,3,373.21,0.06,419.12,2025-04-07 18:28:20,Standard,North
266,288,PROD_2744,5,74.12,0.282,1828.18,2024-12-15 18:28:20,Premium,South
267,45,PROD_3424,19,400.83,0.205,31.29,2024-12-26 18:28:20,Premium,South
268,829,PROD_4663,10,112.21,0.285,275.59,2025-05-11 18:28:20,Basic,Central
269,198,PROD_4587,16,250.92,0.061,1518.5,2024-10-22 18:28:20,Basic,North
270,216,PROD_5075,1,429.68,0.261,1959.92,2025-10-04 18:28:20,Premium,Central
271,481,PROD_8607,6,104.78,0.2,1379.49,2025-01-09 18:28:20,Premium,South
272,309,PROD_3510,9,128.52,0.166,1845.45,2025-05-25 18:28:20,Basic,South
273,896,PROD_2615,5,40.76,0.246,1711.92,2025-07-11 18:28:20,Basic,Central
274,435,PROD_9883,14,81.84,0.19,965.14,2024-12-24 18:28:20,Premium,East
275,332,PROD_9287,10,81.8,0.201,673.71,2025-10-14 18:28:20,Basic,South
276,696,PROD_6947,2,109.68,0.076,1268.15,2025-03-14 18:28:20,Standard,North
277,27,PROD_7760,5,150.24,0.245,1071.77,2024-12-10 18:28:20,Basic,West
278,166,PROD_7551,1,409.34,0.195,61.4,2025-03-08 18:28:20,Premium,West
279,318,PROD_7869,10,458.72,0.253,1915.02,2024-12-28 18:28:20,Standard,West
280,274,PROD_6426,9,209.08,0.105,1144.79,2024-11-22 18:28:20,Standard,Central
281,383,PROD_5900,3,72.82,0.1,1750.24,2025-09-19 18:28:20,Basic,South
282,365,PROD_2329,15,119.67,0.007,1471.91,2024-10-26 18:28:20,Premium,East
283,103,PROD_4973,4,370.74,0.231,688.26,2025-05-15 18:28:20,Basic,North
284,960,PROD_3661,13,341.94,0.099,1803.3,2025-04-14 18:28:20,Basic,West
285,503,PROD_8883,6,483.93,0.098,1582.94,2025-07-28 18:28:20,Basic,West
286,845,PROD_2086,17,17.1,0.207,865.29,2025-01-21 18:28:20,Standard,North
287,373,PROD_6143,5,377.87,0.076,1682.55,2024-12-07 18:28:20,Basic,West
288,616,PROD_1932,15,257.84,0.273,550.39,2025-01-09 18:28:20,Basic,Central
289,926,PROD_8137,8,452.32,0.161,1344.66,2025-03-09 18:28:20,Basic,South
290,245,PROD_7650,5,292.32,0.291,238.02,2025-10-07 18:28:20,Basic,South
291,817,PROD_8080,13,228.87,0.023,1732.88,2025-04-04 18:28:20,Premium,East
292,169,PROD_3523,1,336.27,0.101,1461.57,2025-09-10 18:28:20,Premium,Central
293,628,PROD_7786,1,418.43,0.114,313.61,2025-09-20 18:28:20,Premium,East
294,653,PROD_8752,7,148.42,0.219,52.46,2025-03-30 18:28:20,Standard,West
295,418,PROD_1501,5,62.69,0.064,785.84,2025-04-28 18:28:20,Premium,South
296,356,PROD_6468,14,222.18,0.113,1353.79,2025-03-13 18:28:20,Basic,East
297,478,PROD_7068,15,115.11,0.273,573.46,2025-02-21 18:28:20,Basic,East
298,125,PROD_2937,17,220.48,0.034,1946.78,2025-06-13 18:28:20,Premium,Central
299,537,PROD_6046,18,495.61,0.224,1870.02,2025-06-17 18:28:20,Standard,West
300,706,PROD_4861,7,291.32,0.211,1199.9,2025-02-25 18:28:20,Standard,North
301,896,PROD_8971,18,349.86,0.039,638.04,2025-05-28 18:28:20,Standard,Central
302,612,PROD_9058,19,342.18,0.207,1793.58,2025-04-07 18:28:20,Basic,Central
303,402,PROD_7493,7,412.14,0.171,1608.91,2025-03-01 18:28:20,Premium,West
304,517,PROD_4506,8,472.62,0.086,181.45,2025-09-22 18:28:20,Standard,North
305,531,PROD_7640,13,332.82,0.093,957.88,2025-09-02 18:28:20,Basic,Central
306,682,PROD_8046,18,243.29,0.25,1962.62,2025-03-24 18:28:20,Standard,East
307,786,PROD_4852,11,165.74,0.069,913.27,2025-05-05 18:28:20,Standard,East
308,254,PROD_5693,9,186.53,0.154,1866.49,2025-08-02 18:28:20,Premium,East
309,121,PROD_4985,1,173.9,0.204,1954.81,2025-03-01 18:28:20,Basic,East
310,32,PROD_3701,8,168.99,0.039,780.84,2025-03-16 18:28:20,Standard,North
311,661,PROD_6506,12,350.37,0.28,1929.47,2025-08-28 18:28:20,Basic,West
